,barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,barangay_raw,category,ai_guess,groundtruth
1817,Calusiche,,PH0403419005,Pagsanjan,PH0403419,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.291097152,Calusiche,Other,Other,Other
2495,Barangay 232,,PH1303901232,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.03739445433,Barangay 232,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1874,Pook,,PH0403423008,Rizal,PH0403423,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.4886278,Pook,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic","Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic"
3946,Aguho,,PH1307606001,Pateros,PH1307606,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.1858393255,Aguho,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc","Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc"
624,Barangay IX,,PH0402102022,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.04284549035,Barangay IX (Pob.),Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
611,Minantok Kanluran,,PH0402102009,Amadeo,PH0402102,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.433177626,Minantok Kanluran,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Other
1160,Labac,,PH0402115015,Naic,PH0402115,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.347318324,Labac,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features"
2670,Barangay 409,,PH1303901409,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.02940556441,Barangay 409,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2929,Barangay 689,,PH1303901689,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.02461674732,Barangay 689,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2062,Laguio,,PH0403429010,Siniloan,PH0403429,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.141458184,Laguio,Other,Other,Other
173,Balayong,,PH0301410006,City of Malolos,PH0301410,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.626028325,Balayong,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc","Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc"
1465,Pittland,,PH0403404012,Cabuyao City,PH0403404,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.035699746,Pittland,Other,Other,Other
1748,Taytay,,PH0403416040,Majayjay,PH0403416,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.918887294,Taytay,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic","Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic"
3288,Immaculate Concepcion,,PH1307404045,Quezon City,PH1307404,Metropolitan Manila Second District,PH13074,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.5099648313,Immaculate Concepcion,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
3205,San Roque,,PH1307402008,City of Marikina,PH1307402,Metropolitan Manila Second District,PH13074,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,1.110923832,San Roque,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
3010,Barangay 816,,PH1303901816,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01066522313,Barangay 816,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2596,Barangay 323,,PH1303901323,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.02377857952,Barangay 323,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3003,Barangay 809,,PH1303901809,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.0195786278,Barangay 809,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3456,Barangay 50,,PH1307501050,Caloocan City,PH1307501,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.03194975169,Barangay 50,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3019,Barangay 825,,PH1303901825,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.05945254853,Barangay 825,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1646,San Jose,,PH0403412014,Luisiana,PH0403412,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,3.789070695,San Jose,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
1071,Congbalay-Legaspi,,PH0402111016,Kawit,PH0402111,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.2586506055,Congbalay-Legaspi,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Other
856,Sampaloc III,,PH0402106062,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.144614399,Sampaloc III,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc","Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc"
2972,Barangay 732,,PH1303901732,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.02317982268,Barangay 732,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
162,Santa Monica,,PH0301409022,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.610372158,Santa Monica,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
3765,Barangay 21,,PH1307605021,Pasay City,PH1307605,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01754773877,Barangay 21,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
535,Talacsan,,PH0301422031,San Rafael,PH0301422,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.043174988,Talacsan,Other,Other,Other
1049,Tambo Kulit,,PH0402110031,Indang,PH0402110,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.524285014,Tambo Kulit,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc","Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
3566,Barangay 160,,PH1307501160,Caloocan City,PH1307501,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.4669009446,Barangay 160,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1824,Barangay I,,PH0403419012,Pagsanjan,PH0403419,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1894655156,Barangay I (Pob.),Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2738,Barangay 477,,PH1303901477,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.02281219407,Barangay 477,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1114,Bucal III B,,PH0402113022,Maragondon,PH0402113,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.2412825406,Bucal III B,Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features"
440,San Martin II,,PH0301420046,City of San Jose del Monte,PH0301420,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.1160760049,San Martin II,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
3102,Barangay 776,,PH1303901776,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.03147038581,Barangay 776,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
129,Daungan,,PH0301408002,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.258390143,Daungan,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic","Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic"
1719,Botocan,,PH0403416011,Majayjay,PH0403416,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.041575123,Botocan,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Other
2847,Barangay 586,,PH1303901586,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.1102130538,Barangay 586,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3782,Barangay 38,,PH1307605038,Pasay City,PH1307605,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.08342162046,Barangay 38,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1616,San Isidro,,PH0403410034,Liliw,PH0403410,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.7418017468,San Isidro,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
841,Burol I,,PH0402106047,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.12995347,Burol I,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features"
575,Barangay III,,PH0402101004,Alfonso,PH0402101,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.3121124224,Barangay III (Pob.),Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1548,Cansuso,,PH0403407005,Cavinti,PH0403407,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,34.91604576,Cansuso,Other,Other,Other
3981,San Miguel,,PH1307607026,Taguig City,PH1307607,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.7682694931,San Miguel,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
1078,Wakas II,,PH0402111023,Kawit,PH0402111,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.4956140055,Wakas II,Other,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
283,San Pascual,,PH0301414010,Obando,PH0301414,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.404007012,San Pascual,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
1666,Primera Pulo,,PH0403413011,Lumban,PH0403413,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1147981264,Primera Pulo (Pob.),Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features"
3891,Barangay 147,,PH1307605147,Pasay City,PH1307605,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.0348691957,Barangay 147,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3771,Barangay 27,,PH1307605027,Pasay City,PH1307605,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01943189032,Barangay 27,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1571,Calumpang,,PH0403408009,Famy,PH0403408,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.03535486208,Calumpang (Pob.),Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc","Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc"
3506,Barangay 100,,PH1307501100,Caloocan City,PH1307501,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.05020147416,Barangay 100,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3591,Barangay 185,,PH1307501185,Caloocan City,PH1307501,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.7026058509,Barangay 185,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2668,Barangay 407,,PH1303901407,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.0289759528,Barangay 407,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
212,Santo Rosario,,PH0301410050,City of Malolos,PH0301410,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4266031117,Santo Rosario (Pob.),Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
1896,Barangay IV-C,,PH0403424019,San Pablo City,PH0403424,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.05603922048,Barangay IV-C (Pob.),Other,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2824,Barangay 563,,PH1303901563,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01347751983,Barangay 563,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3815,Barangay 71,,PH1307605071,Pasay City,PH1307605,Metropolitan Manila Fourth District,PH13076,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01277993792,Barangay 71,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
679,Niog III,,PH0402103052,Bacoor City,PH0402103,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.966440935,Niog III,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc","Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc"
881,Kaymisas,,PH0402107006,General Emilio Aguinaldo,PH0402107,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,4.059032557,Kaymisas,Other,Other,Other
2638,Barangay 365,,PH1303901365,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.01922934,Barangay 365,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
2542,Barangay 296,,PH1303901296,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.03502160156,Barangay 296,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
799,Barangay 62-A,Kangkong A,PH0402105083,Cavite City,PH0402105,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.1182666536,Barangay 62-A (Kangkong A),Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
1968,Riverside,,PH0403425013,City of San Pedro,PH0403425,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.09570021422,Riverside,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features"
1609,Masikap,,PH0403410027,Liliw,PH0403410,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.09656765312,Masikap (Pob.),Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog","Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
2273,Barangay 2,,PH1303901002,City of Manila,PH1303901,Metropolitan Manila First District,PH13039,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.0378713368,Barangay 2,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
3657,Pasolo,,PH1307504024,City of Valenzuela,PH1307504,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.4869888664,Pasolo,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Other
1759,Banca-banca,,PH0403417009,Nagcarlan,PH0403417,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,1.344645,Banca-banca,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
3464,Barangay 58,,PH1307501058,Caloocan City,PH1307501,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.04898544319,Barangay 58,Administrative,"Administrative Boundaries - barangay, district, zone except Poblacion","Administrative Boundaries - barangay, district, zone except Poblacion"
830,San Miguel,,PH0402106036,City of Dasmariñas,PH0402106,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.07028375116,San Miguel,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
1426,Santo Domingo,,PH0403402013,Bay,PH0403402,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,2.816434961,Santo Domingo,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related","Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related"
18,Dalig,,PH0301402004,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.847433915,Dalig,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc"
1453,Tubigan,,PH0403403025,City of Biñan,PH0403403,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.8159994185,Tubigan,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features","Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features"
1959,Cuyab,,PH0403425002,City of San Pedro,PH0403425,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.8454463125,Cuyab,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Other
1757,Bambang,,PH0403417007,Nagcarlan,PH0403417,Laguna,PH04034,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.929331004,Bambang,Other,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features"
2133,Kasile,,PH0405804016,Binangonan,PH0405804,Rizal,PH04058,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,0.2712744933,Kasile,Other,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic"
3398,Pedro Cruz,,PH1307405013,City of San Juan,PH1307405,Metropolitan Manila Second District,PH13074,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.1851561293,Pedro Cruz,Other Persons,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians","Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians"
1039,Mahabangkahoy Lejos,,PH0402110021,Indang,PH0402110,Cavite,PH04021,Region IV-A,Calabarzon,PH04,Luzon,The Philippines,PH,5.594432692,Mahabangkahoy Lejos,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc","Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc"
3633,Tanza 2,,PH1307503018,City of Navotas,PH1307503,Metropolitan Manila Third District,PH13075,NCR,National Capital Region,PH13,Luzon,The Philippines,PH,0.6626539825,Tanza 2,Other,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog"
