barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,helper,category,ai_guess,barangay_raw,groundtruth,Checked?,match category-ai guess,match ai-groundtruth,Notes
Wawa,,PH0301402011,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.629053365,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Wawa (Pob.),"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,FALSE,
Bagong Nayon,,PH0301403001,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3870548915,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Bagong Nayon,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,FALSE,TRUE,
Barangca,,PH0301403002,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.546507213,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Barangca,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,FALSE,
Calantipay,,PH0301403003,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.07063266,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Calantipay,"Animals - e.g. Talaba, Rooster, Tatiyao, Rooster, Carabao",TRUE,FALSE,FALSE,Long oyster
Catulinan,,PH0301403004,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.352189181,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Catulinan,Other,TRUE,TRUE,FALSE,
Concepcion,,PH0301403005,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6508480703,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Concepcion,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Hinukay,,PH0301403006,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.361399182,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Hinukay,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Makinabang,,PH0301403007,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.602516243,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Makinabang,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,FALSE,TRUE,
Matangtubig,,PH0301403008,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.568868424,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Matangtubig,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Pagala,,PH0301403010,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.07445375,,Other,Other,Pagala,Other,TRUE,TRUE,TRUE,
Paitan,,PH0301403011,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.089548676,,Other,Other,Paitan,Other,TRUE,TRUE,TRUE,
Piel,,PH0301403012,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.14018909,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Piel,Other,TRUE,TRUE,FALSE,
Pinagbarilan,,PH0301403013,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.873920576,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Pinagbarilan,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,TRUE,
Poblacion,,PH0301403014,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5098121321,Duplicate,Poblacion (Town Proper),"Town Proper - Poblacion, Central references",Poblacion,"Town Proper - Poblacion, Central references",TRUE,TRUE,TRUE,
Sabang,,PH0301403016,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.381219329,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Sabang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
San Jose,,PH0301403017,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.891559937,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Jose,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Roque,,PH0301403018,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.242570175,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Roque,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Barbara,,PH0301403019,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.941457175,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Barbara,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santo Cristo,,PH0301403020,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4705051111,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Cristo,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santo Nino,,PH0301403021,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7746927095,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Niño,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Subic,,PH0301403022,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4288022451,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Subic,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Sulivan,,PH0301403023,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.932642758,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Sulivan,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",TRUE,TRUE,TRUE,
Tangos,,PH0301403024,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.33981781,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Tangos,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Tarcan,,PH0301403025,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.792561528,,Other,Other,Tarcan,Other,TRUE,TRUE,TRUE,
Tiaong,,PH0301403026,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.349511885,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Tiaong,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",TRUE,TRUE,FALSE,
Tibag,,PH0301403027,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.2855006448,Duplicate,Other,Other,Tibag,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Tilapayong,,PH0301403028,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.295715431,,Other,Other,Tilapayong,Other,TRUE,TRUE,TRUE,
Virgen delas Flores,,PH0301403030,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4053976308,,Other Persons,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Virgen delas Flores,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,FALSE,TRUE,
Antipona,,PH0301404001,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.05346118272,,Other,Other,Antipona,Other,TRUE,TRUE,TRUE,
Bagumbayan,,PH0301404002,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5218314527,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Bagumbayan,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,FALSE,TRUE,
Bambang,,PH0301404003,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.283705422,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Bambang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,FALSE,
Batia,,PH0301404004,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.50044228,,Other,Other,Batia,Other,TRUE,TRUE,TRUE,
Binang 1st,,PH0301404005,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3795863917,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Biñang 1st,Other,TRUE,TRUE,FALSE,
Binang 2nd,,PH0301404006,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4759471869,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Biñang 2nd,Other,TRUE,TRUE,FALSE,
Bolacan,,PH0301404007,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7736385204,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Bolacan,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,FALSE,
Bundukan,,PH0301404008,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.62348811,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Bundukan,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,TRUE,
Bunlo,,PH0301404009,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3833605915,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Bunlo,Other,TRUE,TRUE,FALSE,
Caingin,,PH0301404010,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3410709309,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Caingin,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Duhat,,PH0301404011,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.262024133,Duplicate,Fruit/Plant,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Duhat,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,FALSE,TRUE,
Igulot,,PH0301404012,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.070625202,,Other,Other,Igulot,Other,TRUE,TRUE,TRUE,
Lolomboy,,PH0301404013,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.403768467,,Other,Other,Lolomboy,Other,TRUE,TRUE,TRUE,
Poblacion,,PH0301404014,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.05778477398,Duplicate,Poblacion (Town Proper),"Town Proper - Poblacion, Central references",Poblacion,"Town Proper - Poblacion, Central references",TRUE,TRUE,TRUE,
Sulucan,,PH0301404015,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7581088036,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Sulucan,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,TRUE,
Taal,,PH0301404016,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.89590221,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Taal,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,FALSE,People believe it's either wild palm tres or sugarcane points
Tambobong,,PH0301404017,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.170710395,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Tambobong,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",TRUE,TRUE,FALSE,Barn
Turo,,PH0301404018,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.506841229,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Turo,Other,TRUE,TRUE,FALSE,
Wakas,,PH0301404019,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.890214205,,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Wakas,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,FALSE,FALSE,
Bagumbayan,,PH0301405001,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7521475357,Duplicate,Other,Other,Bagumbayan,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
Balubad,,PH0301405002,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.9981339857,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Balubad,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,FALSE,
Bambang,,PH0301405003,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,14.27072387,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Bambang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",TRUE,TRUE,FALSE,
Matungao,,PH0301405004,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.457493098,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Matungao,Other,TRUE,FALSE,FALSE,"Could mean ""cold"" in Maranao"
Maysantol,,PH0301405005,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3723593297,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Maysantol,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",TRUE,TRUE,TRUE,
Perez,,PH0301405006,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.486675695,Duplicate,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Perez,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",TRUE,TRUE,TRUE,
Pitpitan,,PH0301405007,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.270708197,,Other,Other,Pitpitan,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",TRUE,TRUE,FALSE,
San Francisco,,PH0301405009,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.49377868,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Francisco,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Jose,,PH0301405010,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5434588421,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Jose (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
San Nicolas,,PH0301405012,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,16.50269542,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Nicolas,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
Santa Ana,,PH0301405013,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.942284835,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Ana,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",TRUE,TRUE,TRUE,
