barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,helper,category,ai_guess,barangay_raw,groundtruth,Checked?,match category-ai guess,match ai-groundtruth,Notes,factchecked_category
San Roque,,PH0301401014,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.360067616,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Roque (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santa Cruz,,PH0301401015,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.727557046,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Cruz (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santa Lucia,,PH0301401016,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.187778125,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Lucia,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santo Cristo,,PH0301401017,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.2774683658,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Cristo (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Sulucan,,PH0301401018,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.826106853,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Sulucan,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",True,True,True,,Place
Taboc,,PH0301401019,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.993732671,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Taboc,Other,True,True,False,,Other
Borol 2nd,,PH0301402002,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.032380787,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Borol 2nd,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,False,False,,Geographic
Borol 1st,,PH0301402003,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.4090191,,Other,"Administrative Boundaries - barangay, district, zone except Poblacion",Borol 1st,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,False,False,,Geographic
Dalig,,PH0301402004,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.847433915,Duplicate,Other,Other,Dalig,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,False,,Fruits/Plants
Longos,,PH0301402005,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3883156388,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Longos,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Panginay,,PH0301402007,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.223229782,Duplicate,Other,Other,Panginay,Other,True,True,True,,Other
Pulong Gubat,,PH0301402008,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.542519112,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Pulong Gubat,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,False,False,Forested island,Geographic
San Juan,,PH0301402009,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.685103044,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Juan,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santol,,PH0301402010,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.72357227,Duplicate,Fruit/Plant,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Santol,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,False,True,,Fruits/Plants
Wawa,,PH0301402011,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.629053365,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Wawa (Pob.),"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,False,,Geographic
Bagong Nayon,,PH0301403001,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3870548915,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Bagong Nayon,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Barangca,,PH0301403002,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.546507213,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Barangca,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,False,,Geographic
Calantipay,,PH0301403003,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.07063266,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Calantipay,"Animals - e.g. Talaba, Rooster, Tatiyao, Rooster, Carabao",True,False,False,Long oyster,Animals
Catulinan,,PH0301403004,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.352189181,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Catulinan,Other,True,True,False,,Other
Concepcion,,PH0301403005,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6508480703,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Concepcion,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Hinukay,,PH0301403006,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.361399182,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Hinukay,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Makinabang,,PH0301403007,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.602516243,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Makinabang,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Matangtubig,,PH0301403008,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.568868424,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Matangtubig,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Pagala,,PH0301403010,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.07445375,,Other,Other,Pagala,Other,True,True,True,,Other
Paitan,,PH0301403011,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.089548676,,Other,Other,Paitan,Other,True,True,True,,Other
Piel,,PH0301403012,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.14018909,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Piel,Other,True,True,False,,Other
Pinagbarilan,,PH0301403013,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.873920576,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Pinagbarilan,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",True,True,True,,Place
Poblacion,,PH0301403014,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5098121321,Duplicate,Poblacion (Town Proper),"Town Proper - Poblacion, Central references",Poblacion,"Town Proper - Poblacion, Central references",True,True,True,,Town Proper
Sabang,,PH0301403016,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.381219329,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Sabang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
San Jose,,PH0301403017,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.891559937,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Jose,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
San Roque,,PH0301403018,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.242570175,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Roque,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santa Barbara,,PH0301403019,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.941457175,,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Barbara,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santo Cristo,,PH0301403020,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4705051111,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Cristo,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santo Nino,,PH0301403021,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7746927095,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santo Niño,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Subic,,PH0301403022,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4288022451,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Subic,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Sulivan,,PH0301403023,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.932642758,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Sulivan,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",True,True,True,,Other Persons
Tangos,,PH0301403024,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.33981781,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Tangos,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Tarcan,,PH0301403025,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.792561528,,Other,Other,Tarcan,Other,True,True,True,,Other
Tiaong,,PH0301403026,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.349511885,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Tiaong,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",True,True,False,,Other Persons
Tibag,,PH0301403027,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.2855006448,Duplicate,Other,Other,Tibag,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Tilapayong,,PH0301403028,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.295715431,,Other,Other,Tilapayong,Other,True,True,True,,Other
Virgen delas Flores,,PH0301403030,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4053976308,,Other Persons,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Virgen delas Flores,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,False,True,,Religious
Antipona,,PH0301404001,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.05346118272,,Other,Other,Antipona,Other,True,True,True,,Other
Bagumbayan,,PH0301404002,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5218314527,Duplicate,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Bagumbayan,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,True,,Descriptive/Adjective
Bambang,,PH0301404003,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.283705422,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Bambang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,False,,Geographic
Batia,,PH0301404004,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.50044228,,Other,Other,Batia,Other,True,True,True,,Other
Binang 1st,,PH0301404005,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3795863917,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Biñang 1st,Other,True,True,False,,Other
Binang 2nd,,PH0301404006,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.4759471869,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Biñang 2nd,Other,True,True,False,,Other
Bolacan,,PH0301404007,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7736385204,,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Bolacan,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,False,,Fruits/Plants
Bundukan,,PH0301404008,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.62348811,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Bundukan,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,True,,Geographic
Bunlo,,PH0301404009,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3833605915,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Bunlo,Other,True,True,False,,Other
Caingin,,PH0301404010,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3410709309,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Caingin,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Duhat,,PH0301404011,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.262024133,Duplicate,Fruit/Plant,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Duhat,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,False,True,,Fruits/Plants
Igulot,,PH0301404012,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.070625202,,Other,Other,Igulot,Other,True,True,True,,Other
Lolomboy,,PH0301404013,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.403768467,,Other,Other,Lolomboy,Other,True,True,True,,Other
Poblacion,,PH0301404014,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.05778477398,Duplicate,Poblacion (Town Proper),"Town Proper - Poblacion, Central references",Poblacion,"Town Proper - Poblacion, Central references",True,True,True,,Town Proper
Sulucan,,PH0301404015,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7581088036,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Sulucan,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",True,True,True,,Place
Taal,,PH0301404016,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.89590221,Duplicate,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Taal,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,False,People believe it's either wild palm tres or sugarcane points,Fruits/Plants
Tambobong,,PH0301404017,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.170710395,,Other,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",Tambobong,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",True,True,False,Barn,Place
Turo,,PH0301404018,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.506841229,,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Turo,Other,True,True,False,,Other
Wakas,,PH0301404019,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.890214205,,Other,"Directional - North, South, East, West, Upper, Lower, or related names",Wakas,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,False,False,,Descriptive/Adjective
Bagumbayan,,PH0301405001,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7521475357,Duplicate,Other,Other,Bagumbayan,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
Balubad,,PH0301405002,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.9981339857,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Balubad,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,False,,Fruits/Plants
Bambang,,PH0301405003,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,14.27072387,Duplicate,Other,"Place - derived from places e.g. Molino for Mills, Toclong for small church, other names related to location but not geographic",Bambang,"Geographic - Hill, Mountain, Valley, Island, Lake, River, Bay, or other features",True,True,False,,Geographic
Matungao,,PH0301405004,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.457493098,,Other,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",Matungao,Other,True,False,False,"Could mean ""cold"" in Maranao",Other
Maysantol,,PH0301405005,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3723593297,,Other,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",Maysantol,"Fruits/Plants - Mango, banana, guava, santol, coconut, or other Filipino trees or plants, etc",True,True,True,,Fruits/Plants
Perez,,PH0301405006,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.486675695,Duplicate,Other,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",Perez,"Other Persons - e.g. persons or with titles Dr., Gen., Capt., Mayor, Don, Dona, Judge but not heroes/politicians",True,True,True,,Other Persons
Pitpitan,,PH0301405007,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.270708197,,Other,Other,Pitpitan,"Descriptive/Adjective - Buenavista, Maganda, or words that may describe in English, Spanish or Tagalog",True,True,False,,Descriptive/Adjective
San Francisco,,PH0301405009,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.49377868,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Francisco,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
San Jose,,PH0301405010,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5434588421,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Jose (Pob.),"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
San Nicolas,,PH0301405012,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,16.50269542,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",San Nicolas,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santa Ana,,PH0301405013,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.942284835,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Ana,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Santa Ines,,PH0301405014,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.1620707584,Duplicate,Religious,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",Santa Ines,"Religious - San, Saint, Santa, Santo, Salvacion, Concepcion, Assumption, or religion-related",True,True,True,,Religious
Taliptip,,PH0301405015,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,23.79579622,,Other,"Animals - e.g. Talaba, Rooster, Tatiyao, Rooster, Carabao",Taliptip,"Animals - e.g. Talaba, Rooster, Tatiyao, Rooster, Carabao",True,False,True,,Animals
